x,z,row,x_ind
600,0,0,2
840,0,0,3
1080,0,0,4
1320,0,0,5
120,0,0,0
360,0,0,1
480,36.3,1,1
720,36.3,1,2
960,36.3,1,3
1200,36.3,1,4
1440,36.3,1,5
240,36.3,1,0
600,60.5,2,2
840,60.5,2,3
1080,60.5,2,4
1320,60.5,2,5
120,60.5,2,0
360,60.5,2,1
480,84.7,3,1
720,84.7,3,2
960,84.7,3,3
1200,84.7,3,4
1440,84.7,3,5
240,84.7,3,0
600,108.9,4,2
840,108.9,4,3
1080,108.9,4,4
1320,108.9,4,5
120,108.9,4,0
360,108.9,4,1
480,133.1,5,1
720,133.1,5,2
960,133.1,5,3
1200,133.1,5,4
1440,133.1,5,5
240,133.1,5,0
600,157.3,6,2
840,157.3,6,3
1080,157.3,6,4
1320,157.3,6,5
120,157.3,6,0
360,157.3,6,1
480,181.5,7,1
720,181.5,7,2
960,181.5,7,3
1200,181.5,7,4
1440,181.5,7,5
240,181.5,7,0
600,217.8,8,2
840,217.8,8,3
1080,217.8,8,4
1320,217.8,8,5
120,217.8,8,0
360,217.8,8,1
